DateTime,Date,date_id,Time,Flow,Flow per lane,Flow per hour,Speed,Occupancy,Density
2019/4/1 0:00,2019/4/1,1,0:00,146,36.5,438,68,0.0354,9.3456
2019/4/1 0:05,2019/4/1,1,0:05,144,36,432,68.1,0.0356,9.3984
2019/4/1 0:10,2019/4/1,1,0:10,137,34.25,411,68.2,0.0336,8.8704
2019/4/1 0:15,2019/4/1,1,0:15,119,29.75,357,68,0.0309,8.1576
2019/4/1 0:20,2019/4/1,1,0:20,125,31.25,375,68.2,0.0323,8.5272
2019/4/1 0:25,2019/4/1,1,0:25,127,31.75,381,68.2,0.0324,8.5536
2019/4/1 0:30,2019/4/1,1,0:30,115,28.75,345,68.2,0.0305,8.052
2019/4/1 0:35,2019/4/1,1,0:35,121,30.25,363,68.1,0.0317,8.3688
2019/4/1 0:40,2019/4/1,1,0:40,99,24.75,297,68.2,0.0282,7.4448
2019/4/1 0:45,2019/4/1,1,0:45,106,26.5,318,68.2,0.0299,7.8936
2019/4/1 0:50,2019/4/1,1,0:50,113,28.25,339,68.1,0.0295,7.788
2019/4/1 0:55,2019/4/1,1,0:55,102,25.5,306,67.9,0.0281,7.4184
2019/4/1 1:00,2019/4/1,1,1:00,87,21.75,261,68,0.0267,7.0488
2019/4/1 1:05,2019/4/1,1,1:05,87,21.75,261,68.1,0.0262,6.9168
2019/4/1 1:10,2019/4/1,1,1:10,90,22.5,270,68,0.0269,7.1016
2019/4/1 1:15,2019/4/1,1,1:15,86,21.5,258,67.9,0.0262,6.9168
2019/4/1 1:20,2019/4/1,1,1:20,83,20.75,249,68.1,0.0255,6.732
2019/4/1 1:25,2019/4/1,1,1:25,101,25.25,303,68,0.0278,7.3392
2019/4/1 1:30,2019/4/1,1,1:30,82,20.5,246,68,0.0257,6.7848
2019/4/1 1:35,2019/4/1,1,1:35,70,17.5,210,67.8,0.0239,6.3096
2019/4/1 1:40,2019/4/1,1,1:40,82,20.5,246,67.9,0.0254,6.7056
2019/4/1 1:45,2019/4/1,1,1:45,94,23.5,282,68.1,0.0283,7.4712
2019/4/1 1:50,2019/4/1,1,1:50,99,24.75,297,67.9,0.0289,7.6296
2019/4/1 1:55,2019/4/1,1,1:55,82,20.5,246,67.9,0.0254,6.7056
2019/4/1 2:00,2019/4/1,1,2:00,89,22.25,267,67.9,0.0258,6.8112
2019/4/1 2:05,2019/4/1,1,2:05,84,21,252,68,0.0261,6.8904
2019/4/1 2:10,2019/4/1,1,2:10,85,21.25,255,68,0.0263,6.9432
2019/4/1 2:15,2019/4/1,1,2:15,75,18.75,225,67.8,0.0243,6.4152
2019/4/1 2:20,2019/4/1,1,2:20,71,17.75,213,68.1,0.0242,6.3888
2019/4/1 2:25,2019/4/1,1,2:25,90,22.5,270,67.7,0.0266,7.0224
2019/4/1 2:30,2019/4/1,1,2:30,73,18.25,219,67.7,0.0238,6.2832
2019/4/1 2:35,2019/4/1,1,2:35,87,21.75,261,68,0.026,6.864
2019/4/1 2:40,2019/4/1,1,2:40,89,22.25,267,67.9,0.0265,6.996
2019/4/1 2:45,2019/4/1,1,2:45,84,21,252,68,0.0256,6.7584
2019/4/1 2:50,2019/4/1,1,2:50,74,18.5,222,67.9,0.0241,6.3624
2019/4/1 2:55,2019/4/1,1,2:55,59,14.75,177,67.7,0.022,5.808
2019/4/1 3:00,2019/4/1,1,3:00,74,18.5,222,67.8,0.0244,6.4416
